Id,Goal,Duration,Day1PledgedMoney,Day1#Backers,Day1#Tweets,Day1#Replies,Day1#Retweets,Day2PledgedMoney,Day2#Backers,Day2#Tweets,Day2#Replies,Day2#Retweets,Day3PledgedMoney,Day3#Backers,Day3#Tweets,Day3#Replies,Day3#Retweets,Day4PledgedMoney,Day4#Backers,Day4#Tweets,Day4#Replies,Day4#Retweets,Day5PledgedMoney,Day5#Backers,Day5#Tweets,Day5#Replies,Day5#Retweets,Day6PledgedMoney,Day6#Backers,Day6#Tweets,Day6#Replies,Day6#Retweets,Day7PledgedMoney,Day7#Backers,Day7#Tweets,Day7#Replies,Day7#Retweets,Day8PledgedMoney,Day8#Backers,Day8#Tweets,Day8#Replies,Day8#Retweets,Day9PledgedMoney,Day9#Backers,Day9#Tweets,Day9#Replies,Day9#Retweets,Day10PledgedMoney,Day10#Backers,Day10#Tweets,Day10#Replies,Day10#Retweets,State
5549,20000,44,0.148718754925,81.87916995,28.4863338656,0.0,6.0,0.20355,108.0,29.9855360735,0.0,6.0,0.278064430449,138.297334665,33.0207023919,0.0,6.0,0.307851234673,148.785646012,34.7683254675,0.0,6.0,0.341,167.0,41.9340868163,0.0,7.0,0.40355,189.0,44.7376646959,0.0,7.0,0.4832,219.0,54.8463412745,0.0,9.0,0.5507,243.0,56.697991188,0.0,10.0,0.61315,276.0,63.2494210501,0.0,11.0,0.6632,294.0,68.727965419,0.0,12.0,1
5550,9000,30,0.00555555555556,1.0,6.33345780572,0.0,4.0,0.0672222222222,8.0,13.062675134,0.0,7.06267513396,0.106111111111,11.0,16.0582029511,0.0,10.0582029511,0.121111111111,13.0,16.2037476567,0.0,10.2037476567,0.121111111111,13.0,16.353702808,0.0,10.353702808,0.121222222222,14.0,16.4992475137,0.0,10.4992475137,0.125111111111,15.0,16.6447922193,0.0,10.6447922193,0.125111111111,15.0,16.7947473706,0.0,10.7947473706,0.136222222222,16.0,16.9402920762,0.0,10.9402920762,0.144,18.0,18.0236420133,0.0,11.0,1
5551,7000,30,0.0164285714286,5.0,1.60795142756,0.0,0.0,0.0214285714286,7.0,2.10325269566,0.0,0.0,0.0228571428571,8.0,2.23597696647,0.0,0.0,0.0478571428571,11.0,2.36870123729,0.0,0.0,0.0564285714286,14.0,2.50544745571,0.0,0.0,0.0564285714286,14.0,2.63817172652,0.0,0.0,0.0707142857143,15.0,2.77089599734,0.0,0.0,0.0721428571429,16.0,2.90764221575,0.0,0.0,0.104285714286,20.0,3.02639235636,0.0,0.0,0.127857142857,25.0,3.11316994221,0.0,0.0,0
5552,5000,36,0.1812,19.0,3.06632020758,0.0,1.0,0.1922,23.0,3.32018612976,0.0,1.0,0.1972,24.0,3.56498541186,0.0,1.0,0.2022,25.0,3.81885133404,0.0,1.0,0.2692,30.0,5.06758721734,0.0,1.06758721734,0.271087423466,30.943711733,6.38004726066,0.0,2.0,0.2862,32.0,7.42007702433,0.0,2.0,0.3512,38.0,9.60386533879,0.0,3.0,0.3662,41.0,12.1912372572,0.0,4.0,0.4152,47.0,12.8301456914,0.0,4.0,1
5553,2000,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5554,5750,30,0.0321739130435,4.0,0.0,0.0,0.0,0.0339130434783,5.0,0.0,0.0,0.0,0.0426086956522,7.0,0.0,0.0,0.0,0.0445217391304,9.0,0.0,0.0,0.0,0.0751304347826,14.0,0.0,0.0,0.0,0.0925217391304,15.0,0.0,0.0,0.0,0.0968695652174,16.0,0.0,0.0,0.0,0.166608695652,18.0,0.0,0.0,0.0,0.166608695652,18.0,0.0,0.0,0.0,0.168347826087,19.0,0.0,0.0,0.0,1
5555,3750,30,0.0266666666667,1.0,1.0,0.0,0.0,0.0266666666667,1.0,1.0,0.0,0.0,0.0266666666667,1.0,1.0,0.0,0.0,0.0266666666667,1.0,1.0,0.0,0.0,0.0266666666667,1.0,1.0,0.0,0.0,0.0266666666667,1.0,1.0,0.0,0.0,0.0266666666667,1.0,1.0,0.0,0.0,0.0266666666667,1.0,1.0,0.0,0.0,0.0266666666667,1.0,1.0,0.0,0.0,0.0266666666667,1.0,1.0,0.0,0.0,0
5556,5000,31,0.0,0.0,3.82066191437,0.0,0.0,0.001,1.0,5.96980815307,0.0,0.0,0.001,1.0,7.19519863247,0.0,0.0,0.001,1.0,7.39439019484,0.0,0.0,0.001,1.0,7.59358175721,0.0,0.0,0.001,1.0,7.7989980559,0.0,0.0,0.001,1.0,7.99818961827,0.0,0.0,0.001,1.0,8.48521958254,0.0,0.0,0.001,1.0,8.97488960289,0.0,0.0,0.003,2.0,13.2108331494,0.0,3.0,0
5557,15000,30,0.0,0.0,1.0,0.0,0.0,0.00666666666667,1.0,1.0,0.0,0.0,0.00666666666667,1.0,1.0,0.0,0.0,0.00666666666667,1.0,1.0,0.0,0.0,0.00666666666667,1.0,1.0,0.0,0.0,0.007,2.0,1.0,0.0,0.0,0.0536666666667,3.0,1.0,0.0,0.0,0.0536666666667,3.0,1.0,0.0,0.0,0.0536666666667,3.0,1.0,0.0,0.0,0.0536666666667,3.0,1.0,0.0,0.0,0
5558,30000,35,0.0837666666667,40.0,98.3715323454,1.0,54.0,0.0996333333333,55.0,122.349667921,1.0,68.0,0.1049,63.0,127.857452441,1.0,70.0,0.113433333333,72.0,141.401278916,1.0,74.0,0.130119770305,91.5931091585,157.251447428,1.0,76.0,0.139912333333,105.0,167.074532829,1.0,79.0,0.146740080829,111.793296995,193.404592352,3.0,92.0,0.150147608554,115.882330264,205.959954039,6.0,96.9599540388,0.168061344493,123.951561095,219.554775044,6.0,104.0,0.192377483269,134.418773151,247.567557005,6.0,109.0,1
